P1,P3,P4,P7,EDAD,SEXO,ENT,DOMINIO,REGION,EST_DIS,UPM_DIS,ESTRATO
9,1,1,2,73,2,1,1,2,6,1,3
9,1,2,2,55,1,1,1,2,6,8,3
9,1,1,4,51,2,1,1,2,6,8,3
1,1,1,4,34,2,1,1,2,6,8,3
1,1,2,2,46,1,1,1,2,6,8,3
9,2,,4,22,2,1,1,2,5,9,2
9,2,,1,80,2,1,1,2,5,9,2
9,1,1,2,43,2,1,1,2,5,9,2
9,2,,2,32,1,1,1,2,5,9,2
9,,,,58,1,1,1,2,6,10,3
9,1,2,1,64,1,1,1,2,6,10,3
1,1,1,3,20,1,1,1,2,6,10,3
9,1,2,1,65,1,1,1,2,6,10,3
9,1,1,5,60,1,1,1,2,6,11,3
3,1,1,5,39,2,1,1,2,6,11,3
9,1,1,1,62,2,1,1,2,6,11,3
9,1,2,1,41,2,1,1,2,6,11,3
3,1,1,5,64,2,1,1,2,6,12,3
9,,,,45,2,1,1,2,6,12,3
9,1,2,5,62,2,1,1,2,6,12,3
9,1,1,1,52,1,1,1,2,6,12,3
9,9,,9,32,1,1,1,2,6,12,3
9,2,,1,79,2,1,1,2,6,13,3
9,1,2,2,63,1,1,1,2,6,13,3
9,1,1,2,34,1,1,1,2,6,13,3
9,1,2,1,62,2,1,1,2,6,14,3
9,9,,1,96,1,1,1,2,6,14,3
9,1,2,1,71,2,1,1,2,6,15,3
9,9,,1,46,1,1,1,2,6,15,3
9,1,2,1,24,1,1,1,2,6,15,3
9,1,2,1,68,2,1,1,2,6,15,3
3,1,2,2,32,2,1,1,2,6,15,3
9,2,,2,78,1,1,1,2,6,16,3
9,1,1,1,27,2,1,1,2,6,16,3
4,2,,5,33,1,1,1,2,6,16,3
3,1,1,5,45,2,1,1,2,6,16,3
4,2,,3,71,2,1,1,2,7,17,4
2,2,,2,65,2,1,1,2,7,17,4
9,1,1,3,68,2,1,1,2,7,17,4
2,1,1,4,48,1,1,1,2,7,17,4
9,2,,2,79,2,1,1,2,6,18,3
5,1,1,3,37,1,1,1,2,6,18,3
9,2,,1,54,1,1,1,2,6,18,3
9,2,,2,61,1,1,1,2,6,18,3
9,2,,2,70,2,1,1,2,6,18,3
9,1,1,3,77,1,1,1,2,6,19,3
5,1,2,3,39,1,1,1,2,6,19,3
9,,,,89,1,1,1,2,6,19,3
9,1,2,1,60,1,1,1,2,6,19,3
9,1,2,3,61,1,1,1,2,6,19,3
1,1,2,1,29,2,1,1,2,6,20,3
4,1,1,4,42,2,1,1,2,6,20,3
9,9,,4,68,1,1,1,2,6,20,3
1,1,1,4,62,2,1,1,2,6,20,3
3,1,2,3,43,1,1,1,2,6,20,3
6,1,1,4,35,1,1,1,2,6,21,3
9,1,1,2,28,2,1,1,2,6,21,3
9,2,,3,55,1,1,1,2,6,21,3
4,1,1,4,36,1,1,1,2,7,22,4
4,1,1,5,35,2,1,1,2,7,22,4
3,1,1,2,27,2,1,1,2,7,22,4
9,2,,1,79,2,1,1,2,6,23,3
9,1,2,1,43,2,1,1,2,6,23,3
9,9,,1,85,2,1,1,2,6,23,3
9,2,,1,86,2,1,1,2,6,23,3
4,1,1,2,25,1,1,1,2,7,24,4
9,9,,1,68,2,1,1,2,7,24,4
4,1,1,5,37,2,1,1,2,7,24,4
3,1,1,3,23,2,1,1,2,6,25,3
9,1,1,2,47,1,1,1,2,6,25,3
9,1,2,1,70,2,1,1,2,6,25,3
9,1,2,1,67,1,1,1,2,6,25,3
9,1,1,3,20,2,1,1,2,5,26,2
9,1,2,3,40,1,1,1,2,5,26,2
9,2,,2,23,2,1,1,2,5,26,2
9,1,1,3,51,2,1,1,2,5,26,2
9,9,,1,68,2,1,1,2,7,27,4
9,1,2,1,47,2,1,1,2,7,27,4
9,1,1,2,34,2,1,1,2,7,27,4
9,9,,1,43,2,1,1,2,7,27,4
9,1,2,3,24,2,1,1,2,6,28,3
9,2,,2,21,1,1,1,2,6,28,3
9,2,,2,49,2,1,1,2,6,28,3
9,1,1,5,38,2,1,1,2,6,28,3
9,1,1,3,47,2,1,1,2,5,29,2
9,1,1,3,34,2,1,1,2,5,29,2
9,1,1,3,30,1,1,1,2,5,29,2
9,9,,3,54,1,1,1,2,5,29,2
9,1,1,3,26,2,1,1,2,5,29,2
3,1,2,1,29,2,1,1,2,5,30,2
9,1,2,2,27,1,1,1,2,5,30,2
9,1,2,3,41,1,1,1,2,5,30,2
9,2,,2,68,2,1,1,2,5,30,2
2,1,1,3,42,2,1,1,2,6,31,3
1,1,2,1,27,2,1,1,2,6,31,3
3,1,1,5,60,2,1,1,2,6,31,3
9,,,,75,2,1,1,2,6,31,3
9,,,,77,1,1,1,2,6,31,3
3,1,1,2,56,1,1,1,2,5,32,2
1,1,1,3,47,1,1,1,2,5,32,2
9,1,1,3,60,1,1,1,2,5,32,2
9,,,,68,2,1,1,2,5,32,2
9,1,2,1,52,2,1,1,2,5,32,2
2,1,1,5,31,1,1,1,2,7,33,4
9,1,2,1,65,1,1,1,2,7,33,4
9,1,2,1,43,2,1,1,2,7,33,4
9,1,1,3,21,1,1,1,2,7,33,4
9,1,2,2,29,2,1,1,2,6,34,3
2,1,1,3,32,1,1,1,2,6,34,3
9,,,,62,2,1,1,2,6,34,3
9,1,1,4,61,1,1,1,2,6,34,3
9,1,2,5,22,2,1,1,2,6,35,3
9,1,1,1,30,2,1,1,2,6,35,3
